State/Union Territory,Power_Requirement_Net_Crore_Units_kiloWatt-Hour,Availability_Of_Power_Net_Crore_Units_kiloWatt-Hour,Installed_Power_Capacity_MegaWatt,End_Year,population(million),Region,rel_pop,rel_infras_eco,Region_means_encoded,Region_encoded_normalized,Region_encoded_standardized
Jharkhand,437.0,415.0,2017.0,2007,26.913099870298314,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Karnataka,4080.0,3995.0,7785.0,2007,52.85090620452441,SR,3,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Kerala,1502.0,1472.0,3496.0,2007,31.847684984855043,SR,2,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Lakshadweep,3.0,3.0,10.0,2007,0.0727802037845706,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Madhya Pradesh,3871.0,3283.0,6487.0,2007,60.349264705882355,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Maharashtra,11001.0,8914.0,17380.0,2007,96.88077382893164,WR,4,3,4541.141176470588,1.0,1.1983805361083646
Manipur,45.0,43.0,158.0,2007,2.1728145528044465,NER,3,1,156.97037037037038,0.0,-1.6522266724460715
Meghalaya,137.0,106.0,288.0,2007,2.31239092495637,NER,3,3,156.97037037037038,0.0,-1.6522266724460715
Mizoram,24.0,22.0,117.0,2007,0.8845999195818255,NER,1,1,156.97037037037038,0.0,-1.6522266724460715
Nagaland,34.0,33.0,103.0,2007,2.0024271844660193,NER,2,1,156.97037037037038,0.0,-1.6522266724460715
Odisha,1710.0,1680.0,3476.0,2007,36.809815950920246,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Puducherry,181.0,181.0,260.0,2007,0.9754257383056694,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Punjab,3864.0,3484.0,6207.0,2007,24.36022933855405,NR,3,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Rajasthan,3324.0,3172.0,5528.0,2007,56.51166933903439,NR,4,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Sikkim,22.0,22.0,114.0,2007,0.5457702803274621,NER,1,1,156.97037037037038,0.0,-1.6522266724460715
Tamil Nadu,6150.0,6045.0,12376.0,2007,62.409663431757174,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Tripura,80.0,73.0,244.0,2007,3.2073813708260106,NER,4,2,156.97037037037038,0.0,-1.6522266724460715
Uttar Pradesh,5744.0,4837.0,9175.0,2007,166.21993127147766,NR,4,4,3255.4640522875816,0.7067456581768915,0.36242759536752484
Uttarakhand,596.0,560.0,1992.0,2007,8.491281273692191,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
West Bengal,2654.0,2597.0,5331.0,2007,80.17906761346094,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
